"V1" "V2" "V3" "V4"
"1" 491 491 0.05875 0.94125
"2" 491 491.191919191919 0.05875 0.94125
"3" 491 491.383838383838 0.05875 0.94125
"4" 491 491.575757575758 0.05875 0.94125
"5" 491 491.767676767677 0.05875 0.94125
"6" 491 491.959595959596 0.05875 0.94125
"7" 491 492.151515151515 0.05875 0.94125
"8" 491 492.343434343434 0.05875 0.94125
"9" 491 492.535353535354 0.05875 0.94125
"10" 491 492.727272727273 0.05875 0.94125
"11" 491 492.919191919192 0.05875 0.94125
"12" 491 493.111111111111 0.05875 0.94125
"13" 491 493.30303030303 0.05875 0.94125
"14" 491 493.494949494949 0.05875 0.94125
"15" 491 493.686868686869 0.05875 0.94125
"16" 491 493.878787878788 0.05875 0.94125
"17" 491 494.070707070707 0.05875 0.94125
"18" 491 494.262626262626 0.05875 0.94125
"19" 491 494.454545454545 0.05875 0.94125
"20" 491 494.646464646465 0.05875 0.94125
"21" 491 494.838383838384 0.05875 0.94125
"22" 491 495.030303030303 0.05875 0.94125
"23" 491 495.222222222222 0.05875 0.94125
"24" 491 495.414141414141 0.05875 0.94125
"25" 491 495.606060606061 0.05875 0.94125
"26" 491 495.79797979798 0.05875 0.94125
"27" 491 495.989898989899 0.05875 0.94125
"28" 491 496.181818181818 0.05875 0.94125
"29" 491 496.373737373737 0.05875 0.94125
"30" 491 496.565656565657 0.05875 0.94125
"31" 491 496.757575757576 0.05875 0.94125
"32" 491 496.949494949495 0.05875 0.94125
"33" 491 497.141414141414 0.05875 0.94125
"34" 491 497.333333333333 0.05875 0.94125
"35" 491 497.525252525253 0.05875 0.94125
"36" 491 497.717171717172 0.05875 0.94125
"37" 491 497.909090909091 0.05875 0.94125
"38" 491 498.10101010101 0.05875 0.94125
"39" 491 498.292929292929 0.05875 0.94125
"40" 491 498.484848484848 0.05875 0.94125
"41" 491 498.676767676768 0.06 0.94
"42" 491 498.868686868687 0.06125 0.93875
"43" 491 499.060606060606 0.05875 0.94125
"44" 491 499.252525252525 0.0625 0.9375
"45" 491 499.444444444444 0.0625 0.9375
"46" 491 499.636363636364 0.07 0.93
"47" 491 499.828282828283 0.08875 0.91125
"48" 491 500.020202020202 0.10125 0.89875
"49" 491 500.212121212121 0.1025 0.8975
"50" 491 500.40404040404 0.10375 0.89625
"51" 491 500.59595959596 0.1025 0.8975
"52" 491 500.787878787879 0.1025 0.8975
"53" 491 500.979797979798 0.10375 0.89625
"54" 491 501.171717171717 0.11125 0.88875
"55" 491 501.363636363636 0.13 0.87
"56" 491 501.555555555556 0.14 0.86
"57" 491 501.747474747475 0.14625 0.85375
"58" 491 501.939393939394 0.15375 0.84625
"59" 491 502.131313131313 0.155 0.845
"60" 491 502.323232323232 0.1675 0.8325
"61" 491 502.515151515152 0.165 0.835
"62" 491 502.707070707071 0.16625 0.83375
"63" 491 502.89898989899 0.15625 0.84375
"64" 491 503.090909090909 0.1575 0.8425
"65" 491 503.282828282828 0.16375 0.83625
"66" 491 503.474747474747 0.175 0.825
"67" 491 503.666666666667 0.17875 0.82125
"68" 491 503.858585858586 0.1825 0.8175
"69" 491 504.050505050505 0.18125 0.81875
"70" 491 504.242424242424 0.18125 0.81875
"71" 491 504.434343434343 0.18125 0.81875
"72" 491 504.626262626263 0.18125 0.81875
"73" 491 504.818181818182 0.18125 0.81875
"74" 491 505.010101010101 0.18125 0.81875
"75" 491 505.20202020202 0.18125 0.81875
"76" 491 505.393939393939 0.18125 0.81875
"77" 491 505.585858585859 0.18125 0.81875
"78" 491 505.777777777778 0.18125 0.81875
"79" 491 505.969696969697 0.18125 0.81875
"80" 491 506.161616161616 0.18125 0.81875
"81" 491 506.353535353535 0.18125 0.81875
"82" 491 506.545454545455 0.1825 0.8175
"83" 491 506.737373737374 0.18375 0.81625
"84" 491 506.929292929293 0.17875 0.82125
"85" 491 507.121212121212 0.175 0.825
"86" 491 507.313131313131 0.17375 0.82625
"87" 491 507.505050505051 0.17375 0.82625
"88" 491 507.69696969697 0.17375 0.82625
"89" 491 507.888888888889 0.1725 0.8275
"90" 491 508.080808080808 0.1725 0.8275
"91" 491 508.272727272727 0.17125 0.82875
"92" 491 508.464646464646 0.1675 0.8325
"93" 491 508.656565656566 0.165 0.835
"94" 491 508.848484848485 0.16 0.84
"95" 491 509.040404040404 0.15625 0.84375
"96" 491 509.232323232323 0.155 0.845
"97" 491 509.424242424242 0.1475 0.8525
"98" 491 509.616161616162 0.13375 0.86625
"99" 491 509.808080808081 0.1275 0.8725
"100" 491 510 0.1225 0.8775
"101" 491.191919191919 491 0.05875 0.94125
"102" 491.191919191919 491.191919191919 0.05875 0.94125
"103" 491.191919191919 491.383838383838 0.05875 0.94125
"104" 491.191919191919 491.575757575758 0.05875 0.94125
"105" 491.191919191919 491.767676767677 0.05875 0.94125
"106" 491.191919191919 491.959595959596 0.05875 0.94125
"107" 491.191919191919 492.151515151515 0.05875 0.94125
"108" 491.191919191919 492.343434343434 0.05875 0.94125
"109" 491.191919191919 492.535353535354 0.05875 0.94125
"110" 491.191919191919 492.727272727273 0.05875 0.94125
"111" 491.191919191919 492.919191919192 0.05875 0.94125
"112" 491.191919191919 493.111111111111 0.05875 0.94125
"113" 491.191919191919 493.30303030303 0.05875 0.94125
"114" 491.191919191919 493.494949494949 0.05875 0.94125
"115" 491.191919191919 493.686868686869 0.05875 0.94125
"116" 491.191919191919 493.878787878788 0.05875 0.94125
"117" 491.191919191919 494.070707070707 0.05875 0.94125
"118" 491.191919191919 494.262626262626 0.05875 0.94125
"119" 491.191919191919 494.454545454545 0.05875 0.94125
"120" 491.191919191919 494.646464646465 0.05875 0.94125
"121" 491.191919191919 494.838383838384 0.05875 0.94125
"122" 491.191919191919 495.030303030303 0.05875 0.94125
"123" 491.191919191919 495.222222222222 0.05875 0.94125
"124" 491.191919191919 495.414141414141 0.05875 0.94125
"125" 491.191919191919 495.606060606061 0.05875 0.94125
"126" 491.191919191919 495.79797979798 0.05875 0.94125
"127" 491.191919191919 495.989898989899 0.05875 0.94125
"128" 491.191919191919 496.181818181818 0.05875 0.94125
"129" 491.191919191919 496.373737373737 0.05875 0.94125
"130" 491.191919191919 496.565656565657 0.05875 0.94125
"131" 491.191919191919 496.757575757576 0.05875 0.94125
"132" 491.191919191919 496.949494949495 0.05875 0.94125
"133" 491.191919191919 497.141414141414 0.05875 0.94125
"134" 491.191919191919 497.333333333333 0.05875 0.94125
"135" 491.191919191919 497.525252525253 0.05875 0.94125
"136" 491.191919191919 497.717171717172 0.05875 0.94125
"137" 491.191919191919 497.909090909091 0.05875 0.94125
"138" 491.191919191919 498.10101010101 0.05875 0.94125
"139" 491.191919191919 498.292929292929 0.05875 0.94125
"140" 491.191919191919 498.484848484848 0.05875 0.94125
"141" 491.191919191919 498.676767676768 0.05875 0.94125
"142" 491.191919191919 498.868686868687 0.06 0.94
"143" 491.191919191919 499.060606060606 0.0575 0.9425
"144" 491.191919191919 499.252525252525 0.0575 0.9425
"145" 491.191919191919 499.444444444444 0.06 0.94
"146" 491.191919191919 499.636363636364 0.06375 0.93625
"147" 491.191919191919 499.828282828283 0.07875 0.92125
"148" 491.191919191919 500.020202020202 0.09375 0.90625
"149" 491.191919191919 500.212121212121 0.10125 0.89875
"150" 491.191919191919 500.40404040404 0.10375 0.89625
"151" 491.191919191919 500.59595959596 0.105 0.895
"152" 491.191919191919 500.787878787879 0.1025 0.8975
"153" 491.191919191919 500.979797979798 0.10375 0.89625
"154" 491.191919191919 501.171717171717 0.10875 0.89125
"155" 491.191919191919 501.363636363636 0.1225 0.8775
"156" 491.191919191919 501.555555555556 0.135 0.865
"157" 491.191919191919 501.747474747475 0.14625 0.85375
"158" 491.191919191919 501.939393939394 0.15125 0.84875
"159" 491.191919191919 502.131313131313 0.155 0.845
"160" 491.191919191919 502.323232323232 0.1575 0.8425
"161" 491.191919191919 502.515151515152 0.165 0.835
"162" 491.191919191919 502.707070707071 0.1625 0.8375
"163" 491.191919191919 502.89898989899 0.16375 0.83625
"164" 491.191919191919 503.090909090909 0.155 0.845
"165" 491.191919191919 503.282828282828 0.15875 0.84125
"166" 491.191919191919 503.474747474747 0.1725 0.8275
"167" 491.191919191919 503.666666666667 0.17875 0.82125
"168" 491.191919191919 503.858585858586 0.1825 0.8175
"169" 491.191919191919 504.050505050505 0.18125 0.81875
"170" 491.191919191919 504.242424242424 0.18125 0.81875
"171" 491.191919191919 504.434343434343 0.18125 0.81875
"172" 491.191919191919 504.626262626263 0.18125 0.81875
"173" 491.191919191919 504.818181818182 0.18125 0.81875
"174" 491.191919191919 505.010101010101 0.18125 0.81875
"175" 491.191919191919 505.20202020202 0.18125 0.81875
"176" 491.191919191919 505.393939393939 0.18125 0.81875
"177" 491.191919191919 505.585858585859 0.18125 0.81875
"178" 491.191919191919 505.777777777778 0.18125 0.81875
"179" 491.191919191919 505.969696969697 0.18125 0.81875
"180" 491.191919191919 506.161616161616 0.18125 0.81875
"181" 491.191919191919 506.353535353535 0.18125 0.81875
"182" 491.191919191919 506.545454545455 0.18375 0.81625
"183" 491.191919191919 506.737373737374 0.18 0.82
"184" 491.191919191919 506.929292929293 0.1775 0.8225
"185" 491.191919191919 507.121212121212 0.17375 0.82625
"186" 491.191919191919 507.313131313131 0.1725 0.8275
"187" 491.191919191919 507.505050505051 0.1725 0.8275
"188" 491.191919191919 507.69696969697 0.1725 0.8275
"189" 491.191919191919 507.888888888889 0.17125 0.82875
"190" 491.191919191919 508.080808080808 0.17 0.83
"191" 491.191919191919 508.272727272727 0.1675 0.8325
"192" 491.191919191919 508.464646464646 0.16125 0.83875
"193" 491.191919191919 508.656565656566 0.1575 0.8425
"194" 491.191919191919 508.848484848485 0.15375 0.84625
"195" 491.191919191919 509.040404040404 0.15 0.85
"196" 491.191919191919 509.232323232323 0.13125 0.86875
"197" 491.191919191919 509.424242424242 0.13 0.87
"198" 491.191919191919 509.616161616162 0.1225 0.8775
"199" 491.191919191919 509.808080808081 0.11125 0.88875
"200" 491.191919191919 510 0.1025 0.8975
"201" 491.383838383838 491 0.05875 0.94125
"202" 491.383838383838 491.191919191919 0.05875 0.94125
"203" 491.383838383838 491.383838383838 0.05875 0.94125
"204" 491.383838383838 491.575757575758 0.05875 0.94125
"205" 491.383838383838 491.767676767677 0.05875 0.94125
"206" 491.383838383838 491.959595959596 0.05875 0.94125
"207" 491.383838383838 492.151515151515 0.05875 0.94125
"208" 491.383838383838 492.343434343434 0.05875 0.94125
"209" 491.383838383838 492.535353535354 0.05875 0.94125
"210" 491.383838383838 492.727272727273 0.05875 0.94125
